,Accuracy - SARSA,Nb episodes - SARSA,Accuracy - QLearning,Nb episodes - QLearning
Fixed $\epsilon$ : $\epsilon$ = 0.1,1.0,329.8,1.0,334.6
Fixed $\epsilon$ : $\epsilon$ = 0.3,1.0,327.6,1.0,314.2
Fixed $\epsilon$ : $\epsilon$ = 0.5,1.0,287.0,1.0,374.2
Fixed $\epsilon$ : $\epsilon$ = 0.7,1.0,341.6,1.0,314.6
Fixed $\epsilon$ : $\epsilon$ = 0.9,1.0,286.4,1.0,345.4
Decaying-$\epsilon$ : decaying rate = 0.9,1.0,308.0,1.0,362.8
Decaying-$\epsilon$ : decaying rate = 0.99,0.8,279.6,1.0,334.2
Decaying-$\epsilon$ : decaying rate = 0.999,1.0,313.2,1.0,283.4
Softmax : $	au$ = 1,0.4,5000.0,1.0,5000.0
Softmax : $	au$ = 0.1,0.6,4116.8,0.0,5000.0
Softmax : $	au$ = 0.01,1.0,322.2,1.0,301.8
Softmax : $	au$ = 0.001,1.0,222.6,1.0,238.2
